0NN;NEX UD 110 EEA;4
0NO;NEXUD 110 EEB;4
G15;N-SHGN FD125-XSD R;4
594;RAIDER;4
300;RC 100 CDS;4
301;RC 100 CSDS;4
299;RC 100 GS;4
298;RC 100 GX;4
027;RGR;4
332;RGR 150-SS;4
331;RGR150;4
556;RK 110 SCZ(COOL);4
1HM;SATR F115 YOUNG STAR;4
015;SATRIA;4
C14;SATRIA 150;4
B23;SATRIA 150 R;4
B56;SATRIA 150 RU 125 LU;4
1NI;SATRIA 150 S;4
0GS;SATRIA BLACK FIRE;4
303;SATRIA DB;4
308;SATRIA E;4
B15;SATRIA F 150 CC;4
992;SATRIA F.150;4
1ED;SATRIA F115;4
1EE;SATRIA F115 MOTOGP;4
0OM;SATRIA F150 FIGH1AKS;4
0OL;SATRIA F150 FIGHTER;4
1W3;SATRIA F150 PREDATOR;4
B13;SATRIA FU 150;4
1O6;SATRIA FU 150 MF;4
1O7;SATRIA FU 150 MFA;4
1O8;SATRIA FU 150 MFX;4
13U;SATRIA FU 150 MOTOGP;4
09Y;SATRIA FU 150 SCDZ;4
1FS;SATRIA FU RACING EU3;4
1FT;SATRIA FU SE EURO3;4
1FR;SATRIA FU SPORTY EU3;4
302;SATRIA KOPLING;4
554;SATRIA LSC;4
520;SATRIA R;4
F79;SATRIA RU 120;4
309;SATRIA RU 120 LD;4
818;SATRIA RU 120 LSC;4
817;SATRIA RU 120 LSCM;4
310;SATRIA RU 120 LU;4
10L;SATRIA WHITE FIGHTER;4
0WI;SATRIA  FU150 SCD2A;4
0WH;SATRIA  FU150SCD2B;4
450;SHOGUN;4
775;SHOGUN 125;4
E07;SHOGUN 125;4
938;SHOGUN 125 CW;4
887;SHOGUN 125 RF;4
202;SHOGUN 125 RXM;4
D79;SHOGUN 125 XRM;4
846;SHOGUN 125 XSDF;4
290;SHOGUN DB;4
292;SHOGUN E;4
201;SHOGUN FD 110;4
622;SHOGUN FD 110 CW;4
912;SHOGUN FD 110 XDF;4
297;SHOGUN FD 110-CSDT;4
294;SHOGUN FD 110-XSDT;4
296;SHOGUN FD110-CDT;4
293;SHOGUN FD110-XD;4
811;SHOGUN FD110-XDFC;4
295;SHOGUN FD110-XSD;4
555;SHOGUN FD110-XSDF;4
812;SHOGUN FD110-XSDFC;4
G14;SHOGUN FD125-XSDF R;4
016;SHOGUN NDB;4
B77;SHOGUN NEWSTRIP XSDF;4
B76;SHOGUN NEWSTRIP(RM);4
291;SHOGUN R;4
203;SHOGUN RF;4
B94;SHOGUN TWO TONE;4
652;SHOGUN VR;4
651;SHOGUN XSD CW;4
0I5;SHOOTER 115 FI;4
0I6;SHOOTER R 115 FI;4
0I7;SHOOTER SR 115 FI;4
U74;SKY WAVE UW 125 SC;4
P76;SKYDRIVE;4
Y08;SKYDRIVE RACING EDT;4
K64;SKYWAVE CW;4
K65;SKYWAVE NR;4
Q90;SKYWAVE NR SR;4
O62;SKYWAVE SPEED R;4
0FT;SKYWAVE UW 125 SC;4
0KE;SKYWAVE-AN250SU;4
881;SMASH CAKRAM CW;4
888;SMASH CAKRAM VR;4
897;SMASH CW;4
639;SMASH DB;4
C76;SMASH DB CW;4
B92;SMASH DB FD 110XCSDN;4
989;SMASH FD 110 XCDCW;4
937;SMASH FD 110 XCSD-CW;4
A56;SMASH FD 110 XCSDF;4
A84;SMASH FR;4
B95;SMASH MINOR CHANGE;4
590;SMASH NDB;4
A55;SMASH SR;4
654;SMASH TROMOL;4
G17;SMASH-M FD110XCSDFM;4
